Horario da captura:  2:04:14 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:15 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:16 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:17 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:18 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:19 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:04:20 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :43.5'C
Horario da captura:  2:04:21 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:22 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:23 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:24 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:25 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:26 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:27 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:28 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.0'C
Horario da captura:  2:04:29 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:30 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:31 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:32 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:33 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:34 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:04:35 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:36 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:37 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:38 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:39 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:40 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:04:41 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:04:42 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :43.5'C
Horario da captura:  2:04:43 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:44 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:45 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:46 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:47 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:48 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:49 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :43.5'C
Horario da captura:  2:04:50 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.5'C
Horario da captura:  2:04:51 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:04:52 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:04:53 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:54 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :43.5'C
Horario da captura:  2:04:55 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :43.5'C
Horario da captura:  2:04:56 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:04:57 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:04:58 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :43.5'C
Horario da captura:  2:04:59 PM -03 on 16, 2018; Temperatura na CPU: 42.932; Temperatura na GPU :44.0'C
Horario da captura:  2:05:00 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:05:01 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.0'C
Horario da captura:  2:05:02 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:05:03 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:05:04 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :42.9'C
Horario da captura:  2:05:06 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:05:07 PM -03 on 16, 2018; Temperatura na CPU: 42.932; Temperatura na GPU :44.0'C
Horario da captura:  2:05:08 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:05:09 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:05:10 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:05:11 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:05:12 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:05:13 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:05:14 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :42.9'C
Horario da captura:  2:05:15 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:05:16 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:05:17 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:05:18 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:05:19 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :43.5'C
Horario da captura:  2:05:20 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :44.0'C
Horario da captura:  2:05:21 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :43.5'C
